,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
38,MX2400_MY250,Fail,default,1,SIGNAL,1.0,pileup,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY250_CR.root,mjjvsmY_CR_Fail_pileup_up,MX2400_MY250,XtoHY,,Up,shapes,1.0,pileup,
39,MX2400_MY250,Fail,default,1,SIGNAL,1.0,pileup,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY250_CR.root,mjjvsmY_CR_Fail_pileup_down,MX2400_MY250,XtoHY,,Down,shapes,1.0,pileup,
40,MX2400_MY250,Fail,default,1,SIGNAL,1.0,prefire,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY250_CR.root,mjjvsmY_CR_Fail_prefire_up,MX2400_MY250,XtoHY,,Up,shapes,1.0,prefire,
41,MX2400_MY250,Fail,default,1,SIGNAL,1.0,prefire,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY250_CR.root,mjjvsmY_CR_Fail_prefire_down,MX2400_MY250,XtoHY,,Down,shapes,1.0,prefire,
42,MX2400_MY250,Fail,default,1,SIGNAL,1.0,F,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY250_CR.root,mjjvsmY_CR_Fail_F_up,MX2400_MY250,XtoHY,,Up,shapes,1.0,F,
43,MX2400_MY250,Fail,default,1,SIGNAL,1.0,F,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY250_CR.root,mjjvsmY_CR_Fail_F_down,MX2400_MY250,XtoHY,,Down,shapes,1.0,F,
44,MX2400_MY250,Fail,default,1,SIGNAL,1.0,PS_FSR,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY250_CR.root,mjjvsmY_CR_Fail_PS_FSR_up,MX2400_MY250,XtoHY,,Up,shapes,1.0,PS_FSR,
45,MX2400_MY250,Fail,default,1,SIGNAL,1.0,PS_FSR,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY250_CR.root,mjjvsmY_CR_Fail_PS_FSR_down,MX2400_MY250,XtoHY,,Down,shapes,1.0,PS_FSR,
46,MX2400_MY250,Fail,default,1,SIGNAL,1.0,PS_ISR,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY250_CR.root,mjjvsmY_CR_Fail_PS_ISR_up,MX2400_MY250,XtoHY,,Up,shapes,1.0,PS_ISR,
47,MX2400_MY250,Fail,default,1,SIGNAL,1.0,PS_ISR,/uscms/home/mchitoto/nobackup/XtoHY/CMSSW_11_1_4/src/TagNTrain/plotting/analysis_note_datasets/2dhistos_scaled_renamed/MX2400_MY250_CR.root,mjjvsmY_CR_Fail_PS_ISR_down,MX2400_MY250,XtoHY,,Down,shapes,1.0,PS_ISR,
